Ranking,Competidor,PTOS,Neust.,Glicko-2
ORO,Israel (IAHMCOL),0.5,0.75,1500
2,Andres (arandres),0,0,1830
3,Maria Clara (mc3010),0,0,1779
4,Jairo (jajajairoramirez),0,0,1666
5,Alejandro (Alejandro-mesa),0,0,1492
6,Abandono,0,0,0
